run_id,started_at_utc,scenario,repeat_index,worker,prompt_mode,scenario_mode,break_ok,agent_exit_code,final_status,detected_fault_class,elapsed_seconds,additional_observation_used,result_json,planner_summary,triage_summary
"a_01_20260310T165510Z","2026-03-10T16:55:10Z","a","1","llm","blind","auto","true","0","success","reverse_proxy_or_upstream_mismatch","12.801","false","observations/20260310T165510Z/runs/a_01_20260310T165510Z/20260310T165538Z_a.json","The Nginx configuration specifies an upstream port of 8001 for the 'app' service, but the 'app' service is configured to listen on port 8000. This mismatch is causing Nginx to fail connecting to the upstream, resulting in 502 Bad Gateway errors. The plan is to correct the port in nginx.conf and then restart the nginx service.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
"a_02_20260310T165552Z","2026-03-10T16:55:52Z","a","2","llm","blind","auto","true","0","success","reverse_proxy_or_upstream_mismatch","11.686","false","observations/20260310T165510Z/runs/a_02_20260310T165552Z/20260310T165619Z_a.json","The Nginx configuration specifies an upstream port of 8001 for the 'app' service, while the 'app' service is configured to listen on port 8000. This port mismatch is causing Nginx to fail connecting to the upstream application, leading to 502 Bad Gateway errors. The plan is to correct the upstream port in nginx.conf to 8000 and then restart the Nginx service to apply the new configuration.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
"a_03_20260310T165633Z","2026-03-10T16:56:33Z","a","3","llm","blind","auto","true","0","success","reverse_proxy_or_upstream_mismatch","11.359","false","observations/20260310T165510Z/runs/a_03_20260310T165633Z/20260310T165659Z_a.json","The Nginx reverse proxy is configured to forward requests to port 8001 for the 'app' service, but the 'app' service is listening on port 8000. This mismatch is causing upstream connection failures and 502 Bad Gateway errors. The plan is to correct the port in the Nginx configuration and then restart Nginx to apply the change.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
"b_01_20260310T165713Z","2026-03-10T16:57:13Z","b","1","llm","blind","auto","true","0","success","app_startup_or_dependency_failure","27.729","false","observations/20260310T165510Z/runs/b_01_20260310T165713Z/20260310T165757Z_b.json","The application service is failing to start because the 'uvicorn' ASGI server is not installed. The logs show 'sh: 1: uvicorn: not found'. This is causing the app container to crash-loop and nginx to report upstream connection failures (502 Bad Gateway). The fix involves adding 'uvicorn' to the app's requirements.txt and rebuilding the service.","The strongest hypothesis is app_startup_or_dependency_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"b_02_20260310T165811Z","2026-03-10T16:58:11Z","b","2","llm","blind","auto","true","0","success","app_startup_or_dependency_failure","31.123","false","observations/20260310T165510Z/runs/b_02_20260310T165811Z/20260310T165859Z_b.json","The application service is failing to start because the 'uvicorn' package, which is necessary to run the FastAPI application, is not found. This is indicated by the 'sh: 1: uvicorn: not found' error in the app logs and its absence from app/requirements.txt. The nginx upstream connection failures are a secondary symptom of the app service not being available. The plan is to add 'uvicorn' to the requirements file and then rebuild the app service to install the missing dependency.","The strongest hypothesis is app_startup_or_dependency_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"b_03_20260310T165913Z","2026-03-10T16:59:13Z","b","3","llm","blind","auto","true","0","success","app_startup_or_dependency_failure","18.605","false","observations/20260310T165510Z/runs/b_03_20260310T165913Z/20260310T165948Z_b.json","The application service is failing to start because 'uvicorn' is not found, as indicated by the app logs. This is likely due to 'uvicorn' being missing from the 'app/requirements.txt' file. Nginx is returning 502 errors because it cannot connect to the upstream application service. The plan is to add 'uvicorn' to the requirements file and then rebuild the 'app' service to install the missing dependency.","The strongest hypothesis is app_startup_or_dependency_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"c_01_20260310T170002Z","2026-03-10T17:00:02Z","c","1","llm","blind","auto","true","0","success","database_auth_or_connectivity_issue","24.447","true","observations/20260310T165510Z/runs/c_01_20260310T170002Z/20260310T170043Z_c.json","The application is failing with a database access denied error due to an incorrect password configured in its environment variables. The `app/app.env` file explicitly shows `DB_PASSWORD=wrongpassword`. The Nginx upstream connection failure is likely a symptom of the application not being able to serve requests correctly due to the database issue. The primary action is to restore the correct database password in the application's environment.","The strongest hypothesis is database_auth_or_connectivity_issue, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"c_02_20260310T170057Z","2026-03-10T17:00:57Z","c","2","llm","blind","auto","true","0","success","database_auth_or_connectivity_issue","19.479","true","observations/20260310T165510Z/runs/c_02_20260310T170057Z/20260310T170133Z_c.json","The application is failing to connect to the database due to incorrect credentials, as evidenced by the 'Access denied' error in health checks and the 'DB_PASSWORD=wrongpassword' in app/app.env. This is likely preventing the application from starting correctly, leading to the nginx upstream connection refusal. The plan is to restore the correct database password in app/app.env and then rebuild the app service.","The strongest hypothesis is database_auth_or_connectivity_issue, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"c_03_20260310T170147Z","2026-03-10T17:01:47Z","c","3","llm","blind","auto","true","0","success","database_auth_or_connectivity_issue","21.625","true","observations/20260310T165510Z/runs/c_03_20260310T170147Z/20260310T170226Z_c.json","The application is failing with a database access denied error, directly linked to a 'wrongpassword' setting in app/app.env. The Nginx upstream connection failure is likely a secondary symptom of the application's inability to function correctly due to the database issue. The plan is to restore the correct database password in the application's environment file and then rebuild the application service to apply this change.","The strongest hypothesis is database_auth_or_connectivity_issue, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"d_01_20260310T170239Z","2026-03-10T17:02:39Z","d","1","llm","blind","auto","true","0","success","query_or_code_bug","19.864","false","observations/20260310T165510Z/runs/d_01_20260310T170239Z/20260310T170315Z_l.json","The application is failing with a 'Table doesn't exist' error, specifically referencing 'itemz'. The `app/main.py` file contains a SQL query targeting 'itemz'. The most direct fix is to correct this table name to 'items' in the application code and then rebuild the service.","The strongest current-state hypothesis is query_or_code_bug. Older reverse-proxy errors remain in recent logs, so overall ambiguity is low and stale evidence should be treated cautiously."
